
UserID,TrialNumber,TaskTimer,Incorrect Hits,Preset Path Number
English-WindowsEditor-5C3C1EF9-0-2AB7745C,1,10.233,3,PathThree (UnityEngine.GameObject),0,0.315,0.364,0.348,0.596,0.349,0.513,0.58,0.48,0.481,0.58,0.236,0.762,0.271,0.514,0.447,0.345,0.268,0.415,0.273,0.447,0.364,0.549,0.464,0.273
English-WindowsEditor-5C3C1F13-0-2CF20CF9,1,16.275,3,PathFive (UnityEngine.GameObject),0,0.398,0.831,0.294,1.711,0.53,0.696,0.906,0.449,0.512,0.399,1.545,1.061,2.173,0.622,0.364,0.283,0.563,0.613,0.233,0.681,0.215,0.683,0.249,0.266
English-WindowsEditor-5C3C4281-0-265FA7C7,1,14.804,28,RandomPath (UnityEngine.GameObject),0,0.766,1.683,0.497,0.48,0.299,1.143,0.503,1.054,0.601,0.331,0.431,0.235,0.298,0.348,0.492,0.63,0.995,0.421,1.259,0.48,0.681,0.381,0.381,0.414
English-WindowsEditor-5C3C42A7-0-1AD61AEC,1,15.469,42,RandomPath (UnityEngine.GameObject),0,0.994,1.381,0.281,0.75,1.342,0.182,0.821,0.314,1.041,0.902,0.348,0.68,0.265,0.298,0.647,0.392,0.414,0.698,0.911,0.236,0.768,0.799,0.556,0.448
English-WindowsEditor-5C3C4341-0-CBB95F5,1,14.422,16,RandomPath (UnityEngine.GameObject),0,0.416,0.466,0.831,0.793,0.383,0.387,0.88,0.459,0.431,0.299,0.563,0.323,1.162,0.283,0.677,0.455,1.243,0.217,0.431,0.55,0.972,1.342,0.414,0.448
English-WindowsEditor-5C3C4397-0-2591F3F5,1,15.452,23,RandomPath (UnityEngine.GameObject),0,0.892,0.483,0.597,0.57,0.631,0.398,0.431,1.094,0.927,0.393,0.451,2.638,0.48,0.348,0.447,0.282,1.027,0.696,0.646,0.398,0.432,0.515,0.383,0.295
English-WindowsEditor-5C3C4422-0-1AC53679,1,13.796,9,RandomPath (UnityEngine.GameObject),0,0.547,1.245,0.447,0.61,0.383,0.398,0.368,0.335,0.913,1.419,0.649,0.898,0.434,0.232,0.252,0.587,0.944,0.406,0.57,0.665,0.512,0.215,0.451,0.315
English-WindowsEditor-5C3C44A4-0-38C809EB,1,13.078,10,RandomPath (UnityEngine.GameObject),0,0.514,0.281,0.414,0.613,0.447,1.697,0.364,0.348,0.298,0.348,0.281,0.216,0.547,0.779,0.381,0.315,0.53,0.579,0.795,0.58,0.547,0.463,0.994,0.746
English-WindowsEditor-5C3C450F-0-23CF6B9B,1,23.289,15,RandomPath (UnityEngine.GameObject),0,0.69,0.994,1.789,0.453,0.911,0.712,0.282,2.154,0.414,1.233,1.028,0.397,0.779,1.093,1.209,1.879,0.414,3.231,0.596,0.513,0.481,1.193,0.514,0.331
English-WindowsEditor-5C625F10-0-22032867,1,14.638,17,RandomPath (UnityEngine.GameObject),0,0.568,0.679,0.646,0.547,1.093,0.48,0.448,1.595,1.06,0.431,0.596,0.646,0.596,0.514,0.613,0.647,0.464,0.365,0.696,0.414,0.298,0.663,0.331,0.249
